Rufus and Chaka Khan	Ain't Nobody	1983
Kiss	Rock and Roll All Nite	1975
Selena	Amor prohibido	1994
Run–DMC	Sucker M.C.'s (en)	1984
Cat Stevens/Yusuf	Father and Son	1970
Foo Fighters	Everlong	1997
Wilco	Heavy Metal Drummer	2002
Neneh Cherry	Buffalo Stance (en)	1988
Blondie	Dreaming	1979
Depeche Mode	Enjoy the Silence	1990
Pearl Jam	Alive	1991
Mark Ronson feat. Bruno Mars	Uptown Funk	2015
Mariah Carey	Fantasy	1995
Craig Mack feat. Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage	Flava in Ya Ear (Remix) (en)	1994
Fiona Apple	Criminal (en)	1996
Blackstreet feat. Dr. Dre and Queen Pen	No Diggity	1996
Nicki Minaj	Super Bass	2010
Harry Styles	Sign of the Times	2017
Queen and David Bowie	Under Pressure	1981
Pete Rock and C.L. Smooth	They Reminisce Over You (en)	1992
Prince	Adore (en)	1987
Pet Shop Boys	West End Girls	1984
Rush	Limelight (en)	1981
Carly Rae Jepsen	Call Me Maybe	2012
Lucinda Williams	Passionate Kisses (en)	1988
Megan Thee Stallion feat. Beyoncé	Savage (Remix)	2020
Celia Cruz	La vida es un carnaval	1998
Alicia Keys	If I Ain't Got You	2003
Miranda Lambert	The House That Built Me (en)	2010
Motörhead	Ace of Spades	1980
Fall Out Boy	Sugar, We're Goin Down (en)	2005
T. Rex	Cosmic Dancer	1971
Bruce Springsteen	Rosalita (Come Out Tonight) (en)	1973
Erykah Badu	Tyrone (en)	1997
Neil Young	Powderfinger (en)	1979
Migos feat. Lil Uzi Vert	Bad and Boujee	2016
Toto	Africa	1982
Missy Elliot	The Rain (Supa Dupa Fly) (en)	1997
Sister Nancy	Bam Bam (en)	1982
Lana Del Rey	Summertime Sadness	2012
Bon Jovi	Livin' on a Prayer	1986
Sade	No Ordinary Love	1992
Steel Pulse	Ku Klux Klan	1978
Daft Punk feat. Pharrell Williams	Get Lucky	2013
Luther Vandross	Never Too Much (en)	1981
Mazzy Star	Fade into You	1993
Dixie Chicks	Goodbye Earl (en)	2000
Peter Gabriel	Solsbury Hill	1977
Tammy Wynette	Stand by Your Man	1968
Curtis Mayfield	Move On Up (en)	1970
Janet Jackson	Rhythm Nation	1989
Kris Kristofferson	Sunday Mornin' Comin' Down	1970
The Go-Go's	Our Lips Are Sealed (en)	1981
Juvenile feat. Lil Wayne and Mannie Fresh	Back That Azz Up (en)	1998
Santana	Oye cómo va	1970
Biz Markie	Just a Friend (en)	1989
Robert Johnson	Cross Road Blues	1937
Lady Gaga	Bad Romance	2009
Azealia Banks	212	2011
Lil Wayne	A Milli (en)	2009
Solange	Cranes in the Sky (en)	2016
The Weeknd	House of Balloons	2011
The Breeders	Cannonball	1993
Lil Nas X	Old Town Road	2019
Miles Davis	So What	1959
The Pixies	Where Is My Mind?	1988
Cyndi Lauper	Time After Time	1983
Carly Simon	You're So Vain	1972
Harry Nilsson	Without You	1971
Lizzo	Truth Hurts	2017
Townes Van Zandt	Pancho and Lefty	1972
Kanye West	Stronger	2007
Harry Styles	As It Was	2022
Drapeau de Porto Rico Bad Bunny	Tití Me Preguntó (en)	2022
Lana Del Rey	A&W (en)	2023
Beyoncé	Break My Soul	2022
Wizkid ft. Tems	Essence (en)	2021
Eslabon Armado (en) et Peso Pluma	Ella Baila Sola (en)	2023
Taylor Swift	Cruel Summer	2019
Jeff Buckley	Grace (en)	1994
Olivia Rodrigo	Drivers License	2021
BTS	Spring Day	2017
SZA	Kill Bill	2022
